0,1,2,3,4,5,6,7,8,9
0.627, 0.689, 0.719, 0.704, 0.81, 0.615, 0.723, 0.577, 0.2, 0.588
0.369, 0.707, 0.551, 0.709, 0.797, 0.495, 0.661, 0.56, 0.287, 0.283
0.564, 0.667, 0.801, 0.863, 0.681, 0.655, 0.779, 0.211, 0.538, 0.118
0.493, 0.707, 0.718, 0.948, 0.918, 0.938, 0.728, 0.354, 0.552, 0.255
0.631, 0.712, 0.756, 0.756, 0.734, 0.807, 0.474, 0.202, 0.388, 0.275
0.591, 0.725, 0.673, 0.659, 0.767, 0.91, 0.0, 0.483, 0.0, 0.592
0.44, 0.495, 0.889, 0.568, 0.85, 0.73, 0.558, 0.0, 0.5, 0.204
0.573, 0.541, 0.542, 0.737, 0.858, 0.211, 0.0, 0.0, 0.178, 0.342
0.591, 0.73, 0.903, 0.495, 0.701, 0.865, 0.445, 0.268, 0.317, 0.34
0.422, 0.604, 0.627, 0.291, 0.903, 0.899, 0.586, 0.378, 0.0, 0.595
0.458, 0.55, 0.63, 0.398, 0.947, 0.497, 0.906, 0.217, 0.343, 0.0
0.627, 0.662, 0.716, 0.896, 0.85, 0.824, 0.724, 0.365, 0.246, 0.379
0.489, 0.68, 0.713, 0.934, 0.941, 0.688, 0.812, 0.381, 0.165, 0.347
0.653, 0.748, 0.917, 0.653, 0.696, 0.889, 0.786, 0.0, 0.0, 0.586
0.587, 0.752, 0.972, 0.61, 0.723, 0.855, 0.92, 0.286, 0.135, 0.645
0.64, 0.635, 0.481, 0.85, 1, 0.62, 0.642, 0.223, 0.16, 0.0
0.444, 0.514, 0.433, 0.474, 0.592, 0.65, 0.725, 0.294, 0.0, 0.19
0.716, 0.595, 0.426, 0.516, 0.951, 0.824, 0.932, 0.714, 0.53, 0.0
0.347, 0.455, 0.523, 0.446, 0.98, 0.672, 0.437, 0.099, 0.0, 0.647
0.467, 0.473, 0.724, 0.662, 0.652, 0.894, 0.85, 0.0, 0.367, 0.0